Generation,Average Fitness,Worst Fitness,Best Fitness,Std Fitness
45,0.42833333333333334,0.7666666666666667,0.2,0.15429949233012186
46,0.41,0.7666666666666667,0.13333333333333333,0.1786057109949175
47,0.46333333333333326,0.6333333333333333,0.26666666666666666,0.10744507640857465
48,0.325,0.6333333333333333,0.13333333333333333,0.11873172373979171
49,0.41500000000000004,0.8333333333333334,0.23333333333333334,0.1514650674798208
50,0.41666666666666663,0.6333333333333333,0.13333333333333333,0.14043582955293932
51,0.46500000000000014,0.7333333333333333,0.16666666666666666,0.15256146302392357
52,0.485,0.8333333333333334,0.13333333333333333,0.17012250488006184
53,0.4116666666666666,0.7333333333333333,0.1,0.15028676292711582
54,0.4133333333333333,0.7666666666666667,0.06666666666666667,0.2080064101576359
55,0.325,0.7,0.1,0.17759973723704284
56,0.25833333333333336,0.6333333333333333,0.06666666666666667,0.14601179556612692
57,0.225,0.36666666666666664,0.06666666666666667,0.08748015648007139
58,0.12,0.23333333333333334,0.03333333333333333,0.050990195135927854
59,0.16833333333333333,0.3333333333333333,0.06666666666666667,0.059137316664033907
60,0.16999999999999998,0.3333333333333333,0.03333333333333333,0.07810249675906654
61,0.14833333333333334,0.3,0.06666666666666667,0.06278269400612455
62,0.16,0.4,0.0,0.07644896627453145
63,0.11833333333333336,0.2,0.0,0.056248456768954014
64,0.16833333333333333,0.3,0.03333333333333333,0.060987248211773294
65,0.20000000000000004,0.43333333333333335,0.03333333333333333,0.09775252199076787
66,0.17,0.3333333333333333,0.0,0.07218802609235905
67,0.16833333333333328,0.4,0.0,0.09278110439811185
68,0.15833333333333338,0.26666666666666666,0.03333333333333333,0.06224949798994366
69,0.17333333333333334,0.3333333333333333,0.06666666666666667,0.06548960901462833
