Generation,Average Fitness,Worst Fitness,Best Fitness,Std Fitness
0,0.49666666666666676,0.8666666666666667,0.23333333333333334,0.15595583420386114
1,0.4766666666666667,0.8,0.23333333333333334,0.15673757260678328
2,0.45833333333333337,0.7666666666666667,0.26666666666666666,0.13575918221452116
3,0.5199999999999999,0.8333333333333334,0.26666666666666666,0.15143755588800728
4,0.4699999999999999,0.6333333333333333,0.16666666666666666,0.09938701010583714
5,0.45499999999999996,0.7333333333333333,0.13333333333333333,0.1805162350347223
6,0.4666666666666666,0.6666666666666666,0.13333333333333333,0.14023789311975085
7,0.4133333333333333,0.7,0.13333333333333333,0.1403962645910179
8,0.44333333333333325,0.7666666666666667,0.1,0.16162370563200876
9,0.34,0.5333333333333333,0.13333333333333333,0.1167142760000773
10,0.3783333333333333,0.7666666666666667,0.06666666666666667,0.14767644813352376
11,0.3616666666666667,0.6333333333333333,0.06666666666666667,0.15429949233012186
12,0.4616666666666666,0.8666666666666667,0.13333333333333333,0.24771735685835358
13,0.445,0.7333333333333333,0.06666666666666667,0.1729723805826943
14,0.4699999999999999,0.7666666666666667,0.23333333333333334,0.15198684153570663
15,0.4083333333333333,0.6333333333333333,0.2,0.12104865871944957
16,0.4333333333333334,0.6333333333333333,0.16666666666666666,0.10697871023920807
17,0.4033333333333333,0.6333333333333333,0.26666666666666666,0.11298967504452195
18,0.3766666666666666,0.5666666666666667,0.16666666666666666,0.12069244660154449
19,0.2883333333333334,0.5,0.1,0.13995038803487153
20,0.27666666666666667,0.5333333333333333,0.1,0.11406625754845781
21,0.22833333333333333,0.4,0.03333333333333333,0.10070584226680528
22,0.25166666666666665,0.6,0.03333333333333333,0.14699773240881417
23,0.20666666666666664,0.4666666666666667,0.03333333333333333,0.11575836902790225
24,0.20666666666666664,0.6333333333333333,0.03333333333333333,0.12806248474865697
25,0.33,0.7666666666666667,0.1,0.21522597943143904
26,0.22833333333333333,0.4666666666666667,0.03333333333333333,0.10396313449167129
27,0.3366666666666666,0.6333333333333333,0.06666666666666667,0.1709125832439236
28,0.45,0.7333333333333333,0.03333333333333333,0.1781073334319006
29,0.44833333333333325,0.8666666666666667,0.13333333333333333,0.2045251954052497
30,0.2966666666666667,0.5666666666666667,0.13333333333333333,0.1386041525752786
31,0.32499999999999996,0.6333333333333333,0.13333333333333333,0.1440968038815882
32,0.31000000000000005,0.9333333333333333,0.1,0.1980740602232744
33,0.31999999999999995,0.5666666666666667,0.1,0.1388044187577134
34,0.2899999999999999,0.6,0.1,0.13868429375143146
35,0.2700000000000001,0.5666666666666667,0.1,0.1173314393786536
36,0.22333333333333333,0.43333333333333335,0.06666666666666667,0.09374907406950156
37,0.15499999999999997,0.3333333333333333,0.06666666666666667,0.0739932429347437
38,0.195,0.36666666666666664,0.1,0.06080478782318232
39,0.25,0.5333333333333333,0.13333333333333333,0.10192589900947104
40,0.215,0.6666666666666666,0.06666666666666667,0.17335737012823474
41,0.22166666666666673,0.4,0.1,0.07765665171481165
42,0.18166666666666664,0.36666666666666664,0.06666666666666667,0.08129165598838133
43,0.18,0.43333333333333335,0.03333333333333333,0.11224972160321824
44,0.17833333333333337,0.43333333333333335,0.03333333333333333,0.10712142642814276
